Provinces Name,Provinces Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Lampung, Prop.",ID.LA,"Number of people employed in agriculture, forestry and fishery",SL.EMP.AGR.FRST.FSH,1715268,1709224,1794308,1795206,1773129,1897875,1790035,1731718,..,..
"Lampung, Prop.",ID.LA,Number of people employed in construction sector,SL.EMP.CNST,162881,194476,148052,182889,222906,220131,243393,250333,..,..
"Lampung, Prop.",ID.LA,Number of people employed in electricity and utilities sector,SL.EMP.ELC,3636,5245,5703,4548,5845,4946,10550,17472,..,..
"Lampung, Prop.",ID.LA,Number of people employed in financial services sector,SL.EMP.FINS,40446,34513,51795,52812,55129,51944,68566,64327,..,..
"Lampung, Prop.",ID.LA,Number of people employed in industrial sector,SL.EMP.IND,358572,335760,289173,292237,331444,331032,306052,365766,..,..
"Lampung, Prop.",ID.LA,Number of people employed in mining and quarrying sector,SL.EMP.MINQ,27239,27992,13558,15150,28875,17281,23806,26416,..,..
"Lampung, Prop.",ID.LA,Number of people employed in social services sector,SL.EMP.SOCL,438887,460102,449490,524955,408951,524620,511404,486621,..,..
"Lampung, Prop.",ID.LA,"Number of people employed in trade, hotel and restaurant sector",SL.EMP.TRAD,605747,639593,600918,662798,685593,753224,756930,930246,..,..
"Lampung, Prop.",ID.LA,Number of people employed in transportation and telecommunication sector,SL.EMP.TRAN,129625,126070,118605,142563,123386,130268,185494,187478,..,..
"Lampung, Prop.",ID.LA,Number of people in labor force,SL.TLF,3696066,3724119,3681084,3857936,3832108,4121668,4072487,4232711,..,..
"Lampung, Prop.",ID.LA,Number of people live below the poverty line (in number of people),SI.POV.BPL,1298710,1253800,1144800,1143934,..,..,1131730,1097050,..,..
"Lampung, Prop.",ID.LA,Number of people underemployed,SL.EMP.UNDR,1349366,1279008,1626504,1371752,1379574,1280268,1442359,1482227,..,..
"Lampung, Prop.",ID.LA,Number of people unemployed,SL.UEM.TOTL,213765,191144,209482,184778,196850,190347,176257,172334,..,..
"Maluku Utara, Prop.",ID.MU,Number of people employed,SL.EMP.TOTL,437870,452671,454978,456017,482543,503479,488715,515615,..,..
"Maluku Utara, Prop.",ID.MU,"Number of people employed in agriculture, forestry and fishery",SL.EMP.AGR.FRST.FSH,241341,247445,249429,239450,242381,205536,199027,235800,..,..
"Maluku Utara, Prop.",ID.MU,Number of people employed in construction sector,SL.EMP.CNST,18221,17849,16424,22678,23241,21779,29793,25393,..,..
"Maluku Utara, Prop.",ID.MU,Number of people employed in electricity and utilities sector,SL.EMP.ELC,809,960,731,1199,1211,3415,855,2354,..,..
"Maluku Utara, Prop.",ID.MU,Number of people employed in financial services sector,SL.EMP.FINS,2929,4041,3762,3800,6110,4753,10184,9072,..,..
"Maluku Utara, Prop.",ID.MU,Number of people employed in industrial sector,SL.EMP.IND,10763,15109,9339,12728,17392,44526,34058,28365,..,..
"Maluku Utara, Prop.",ID.MU,Number of people employed in mining and quarrying sector,SL.EMP.MINQ,7605,11050,15111,6607,11874,13950,14444,13471,..,..
"Maluku Utara, Prop.",ID.MU,Number of people employed in social services sector,SL.EMP.SOCL,73175,75397,80846,84430,84723,104460,106991,99016,..,..
"Maluku Utara, Prop.",ID.MU,"Number of people employed in trade, hotel and restaurant sector",SL.EMP.TRAD,55287,53835,54661,59161,63718,71983,63898,69187,..,..
"Maluku Utara, Prop.",ID.MU,Number of people employed in transportation and telecommunication sector,SL.EMP.TRAN,27740,26985,24675,25964,31893,33077,29465,32957,..,..
"Maluku Utara, Prop.",ID.MU,Number of people in labor force,SL.TLF,463604,475392,472965,481504,513601,524526,516231,541446,..,..
"Maluku Utara, Prop.",ID.MU,Number of people live below the poverty line (in number of people),SI.POV.BPL,97310,88300,85600,84790,79900,74670,76470,81460,..,..
"Maluku Utara, Prop.",ID.MU,Number of people underemployed,SL.EMP.UNDR,182428,195889,193217,185431,197227,145662,157787,157582,..,..
"Maluku Utara, Prop.",ID.MU,Number of people unemployed,SL.UEM.TOTL,25734,22721,17987,25487,31058,21047,27516,25831,..,..
"Maluku, Prop.",ID.MA,Number of people employed,SL.EMP.TOTL,650112,617069,602429,601651,655063,690786,642061,700143,..,..
"Maluku, Prop.",ID.MA,"Number of people employed in agriculture, forestry and fishery",SL.EMP.AGR.FRST.FSH,321494,295505,290707,289357,306490,270301,240829,257643,..,..
"Maluku, Prop.",ID.MA,Number of people employed in construction sector,SL.EMP.CNST,23356,19637,27856,21472,32452,27609,33791,43255,..,..
"Maluku, Prop.",ID.MA,Number of people employed in electricity and utilities sector,SL.EMP.ELC,2425,3747,2668,1465,944,4688,3859,5526,..,..
"Maluku, Prop.",ID.MA,Number of people employed in financial services sector,SL.EMP.FINS,7928,6430,8455,9197,8260,15590,8715,9831,..,..
"Maluku, Prop.",ID.MA,Number of people employed in industrial sector,SL.EMP.IND,45338,37791,20154,20248,23342,56968,51656,59222,..,..
"Maluku, Prop.",ID.MA,Number of people employed in mining and quarrying sector,SL.EMP.MINQ,5947,10800,9688,9705,5649,7814,9081,10663,..,..
"Maluku, Prop.",ID.MA,Number of people employed in social services sector,SL.EMP.SOCL,113756,107671,120901,122892,119344,157636,152709,138660,..,..
"Maluku, Prop.",ID.MA,"Number of people employed in trade, hotel and restaurant sector",SL.EMP.TRAD,92986,97735,84496,80399,108289,89096,98884,121771,..,..
"Maluku, Prop.",ID.MA,Number of people employed in transportation and telecommunication sector,SL.EMP.TRAN,36882,37753,37504,46916,50293,61084,42537,53572,..,..
"Maluku, Prop.",ID.MA,Number of people in labor force,SL.TLF,701893,668307,668721,672304,727259,743149,707796,755034,..,..
"Maluku, Prop.",ID.MA,Number of people live below the poverty line (in number of people),SI.POV.BPL,360320,338900,315200,307016,328410,327720,320510,320080,..,..
"Maluku, Prop.",ID.MA,Number of people underemployed,SL.EMP.UNDR,264805,236864,226951,224185,217101,238052,197522,209228,..,..
"Maluku, Prop.",ID.MA,Number of people unemployed,SL.UEM.TOTL,51781,51238,66292,70653,72196,52363,65735,54891,..,..
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Number of people employed,SL.EMP.TOTL,1852473,1820921,1842671,1931823,1966018,2087045,2138512,2203717,..,..
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Number of people employed in agriculture, forestry and fishery",SL.EMP.AGR.FRST.FSH,898225,854278,860231,851785,881357,735063,831142,865803,..,..
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Number of people employed in construction sector,SL.EMP.CNST,113934,130960,106820,126062,136852,138894,160472,166824,..,..
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Number of people employed in electricity and utilities sector,SL.EMP.ELC,3966,3293,4810,3658,5069,8004,7533,11773,..,..
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Number of people employed in financial services sector,SL.EMP.FINS,25040,25252,23079,26881,21779,33708,34992,35151,..,..
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Number of people employed in industrial sector,SL.EMP.IND,72509,74706,74656,91132,93698,123588,146960,171870,..,..
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Number of people employed in mining and quarrying sector,SL.EMP.MINQ,11739,14120,13692,16132,14708,18681,17363,17702,..,..
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Number of people employed in social services sector,SL.EMP.SOCL,358704,358750,381038,409377,408901,537443,487508,432881,..,..
"Nanggroe Aceh Darussalam, Prop.",ID.AC,"Number of people employed in trade, hotel and restaurant sector",SL.EMP.TRAD,299183,286198,313745,334125,328129,391536,367096,412027,..,..
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Number of people employed in transportation and telecommunication sector,SL.EMP.TRAN,69173,73364,64600,72671,75525,100128,85446,89686,..,..
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Number of people in labor force,SL.TLF,2001259,1999369,2050076,2123312,2182824,2257943,2288777,2354881,..,..
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Number of people live below the poverty line (in number of people),SI.POV.BPL,894810,909000,856900,837420,851590,848440,872610,839490,..,..
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Number of people underemployed,SL.EMP.UNDR,914282,921070,876565,862031,804020,723593,799856,837826,..,..
"Nanggroe Aceh Darussalam, Prop.",ID.AC,Number of people unemployed,SL.UEM.TOTL,148786,178448,207405,191489,216806,170898,150265,151164,..,..
"Nusa Tenggara Barat, Prop.",ID.NB,Number of people employed,SL.EMP.TOTL,1962240,2024611,2032282,2094100,2127503,2367310,2316720,2154124,..,..
"Nusa Tenggara Barat, Prop.",ID.NB,"Number of people employed in agriculture, forestry and fishery",SL.EMP.AGR.FRST.FSH,872088,897224,920401,903139,829993,920910,829637,721283,..,..
"Nusa Tenggara Barat, Prop.",ID.NB,Number of people employed in construction sector,SL.EMP.CNST,89284,95486,108364,104864,156641,154212,171694,148826,..,..
"Nusa Tenggara Barat, Prop.",ID.NB,Number of people employed in electricity and utilities sector,SL.EMP.ELC,2508,3797,1556,2580,3191,6289,6793,21051,..,..
"Nusa Tenggara Barat, Prop.",ID.NB,Number of people employed in financial services sector,SL.EMP.FINS,29560,28222,30982,29226,24356,41655,37474,36120,..,..
"Nusa Tenggara Barat, Prop.",ID.NB,Number of people employed in industrial sector,SL.EMP.IND,169577,171869,163533,186093,199542,209944,272857,266677,..,..
"Nusa Tenggara Barat, Prop.",ID.NB,Number of people employed in mining and quarrying sector,SL.EMP.MINQ,49587,49108,34182,38635,34544,55652,31176,35210,..,..
"Nusa Tenggara Barat, Prop.",ID.NB,Number of people employed in social services sector,SL.EMP.SOCL,293819,323139,317354,324892,350309,408119,363364,316849,..,..
"Nusa Tenggara Barat, Prop.",ID.NB,"Number of people employed in trade, hotel and restaurant sector",SL.EMP.TRAD,370239,384473,383756,422922,459137,458913,514871,529158,..,..
"Nusa Tenggara Barat, Prop.",ID.NB,Number of people employed in transportation and telecommunication sector,SL.EMP.TRAN,85578,71293,72154,81749,69790,111616,88854,78950,..,..
"Nusa Tenggara Barat, Prop.",ID.NB,Number of people in labor force,SL.TLF,2072782,2135332,2146002,2221810,2255879,2464331,2396169,2237381,..,..
"Nusa Tenggara Barat, Prop.",ID.NB,Number of people live below the poverty line (in number of people),SI.POV.BPL,894770,852600,815500,816621,823890,804450,793780,737460,..,..
"Nusa Tenggara Barat, Prop.",ID.NB,Number of people underemployed,SL.EMP.UNDR,860701,901216,950505,839133,828817,809530,855637,867585,..,..
"Nusa Tenggara Barat, Prop.",ID.NB,Number of people unemployed,SL.UEM.TOTL,110542,110721,113720,127710,128376,97021,79449,83257,..,..
"Nusa Tenggara Timur, Prop.",ID.NT,Number of people employed,SL.EMP.TOTL,2096259,2127369,2104507,2174228,2219291,2277068,2320061,2411533,..,..
"Nusa Tenggara Timur, Prop.",ID.NT,"Number of people employed in agriculture, forestry and fishery",SL.EMP.AGR.FRST.FSH,1360265,1308161,1284591,1321274,1368296,1214060,1271534,1319772,..,..
"Nusa Tenggara Timur, Prop.",ID.NT,Number of people employed in construction sector,SL.EMP.CNST,59405,82365,76341,79317,74754,103451,97965,106751,..,..
"Nusa Tenggara Timur, Prop.",ID.NT,Number of people employed in electricity and utilities sector,SL.EMP.ELC,2420,2177,3734,5038,3537,9354,6173,11095,..,..
"Nusa Tenggara Timur, Prop.",ID.NT,Number of people employed in financial services sector,SL.EMP.FINS,20810,19162,22371,23528,29180,20806,35197,32808,..,..
"Nusa Tenggara Timur, Prop.",ID.NT,Number of people employed in industrial sector,SL.EMP.IND,124697,159926,150998,166194,136766,167476,205314,216175,..,..
"Nusa Tenggara Timur, Prop.",ID.NT,Number of people employed in mining and quarrying sector,SL.EMP.MINQ,23627,29756,23052,19050,18435,29251,25686,29922,..,..
"Nusa Tenggara Timur, Prop.",ID.NT,Number of people employed in social services sector,SL.EMP.SOCL,270189,267939,273621,291441,294123,373848,338618,338256,..,..
"Nusa Tenggara Timur, Prop.",ID.NT,"Number of people employed in trade, hotel and restaurant sector",SL.EMP.TRAD,147439,158218,165532,177571,189109,231989,237329,252369,..,..
"Nusa Tenggara Timur, Prop.",ID.NT,Number of people employed in transportation and telecommunication sector,SL.EMP.TRAN,87407,99665,104267,90815,105091,126833,102245,104385,..,..
"Nusa Tenggara Timur, Prop.",ID.NT,Number of people in labor force,SL.TLF,2154258,2194244,2175171,2247438,2307737,2353648,2398609,2486358,..,..
"Nusa Tenggara Timur, Prop.",ID.NT,Number of people live below the poverty line (in number of people),SI.POV.BPL,1012900,1012500,1006900,991878,..,..,1150790,1142170,..,..
"Nusa Tenggara Timur, Prop.",ID.NT,Number of people underemployed,SL.EMP.UNDR,1000991,1009251,1079812,1063028,1137456,987866,996722,1123071,..,..
"Nusa Tenggara Timur, Prop.",ID.NT,Number of people unemployed,SL.UEM.TOTL,57999,66875,70664,73210,88446,76580,78548,74825,..,..
"Papua Barat, Prop.",ID.IB,Number of people employed,SL.EMP.TOTL,336588,351184,359527,378436,380226,402360,402526,417544,..,..
"Papua Barat, Prop.",ID.IB,"Number of people employed in agriculture, forestry and fishery",SL.EMP.AGR.FRST.FSH,163164,164390,177117,171340,160131,148661,141927,140447,..,..
"Papua Barat, Prop.",ID.IB,Number of people employed in construction sector,SL.EMP.CNST,16233,16345,12955,19882,22160,30338,23483,24881,..,..
"Papua Barat, Prop.",ID.IB,Number of people employed in electricity and utilities sector,SL.EMP.ELC,221,880,912,1726,715,877,2519,2483,..,..
"Papua Barat, Prop.",ID.IB,Number of people employed in financial services sector,SL.EMP.FINS,4392,5768,4236,9344,7229,6629,10280,9466,..,..
"Papua Barat, Prop.",ID.IB,Number of people employed in industrial sector,SL.EMP.IND,11580,17899,12971,16682,10357,12640,21771,27814,..,..
"Papua Barat, Prop.",ID.IB,Number of people employed in mining and quarrying sector,SL.EMP.MINQ,8932,10660,9529,8532,6940,8174,10002,6434,..,..
"Papua Barat, Prop.",ID.IB,Number of people employed in social services sector,SL.EMP.SOCL,58731,62259,70614,66810,81924,104765,95068,102221,..,..
"Papua Barat, Prop.",ID.IB,"Number of people employed in trade, hotel and restaurant sector",SL.EMP.TRAD,56325,53048,51741,62107,66924,67987,71200,74353,..,..
"Papua Barat, Prop.",ID.IB,Number of people employed in transportation and telecommunication sector,SL.EMP.TRAN,17010,19935,19452,22013,23846,22289,26276,29445,..,..
"Papua Barat, Prop.",ID.IB,Number of people in labor force,SL.TLF,369619,370974,376081,398424,413635,434817,430478,445630,..,..
"Papua Barat, Prop.",ID.IB,Number of people live below the poverty line (in number of people),SI.POV.BPL,249840,223200,226200,225463,225360,225810,228380,214470,..,..
"Papua Barat, Prop.",ID.IB,Number of people underemployed,SL.EMP.UNDR,109971,122095,139170,131293,124992,137816,138997,120289,..,..
"Papua Barat, Prop.",ID.IB,Number of people unemployed,SL.UEM.TOTL,33031,19790,16554,19988,33409,32457,27952,28086,..,..
"Papua, Prop.",ID.PA,Number of people employed,SL.EMP.TOTL,1476227,1500267,1559675,1617437,1672480,1664485,1699071,1777207,..,..
"Papua, Prop.",ID.PA,"Number of people employed in agriculture, forestry and fishery",SL.EMP.AGR.FRST.FSH,1036520,1086559,1140787,1141671,1236537,1095669,1163328,1204116,..,..
"Papua, Prop.",ID.PA,Number of people employed in construction sector,SL.EMP.CNST,36358,27960,32757,36122,43091,42536,41363,45325,..,..
"Papua, Prop.",ID.PA,Number of people employed in electricity and utilities sector,SL.EMP.ELC,2910,2110,1125,1961,2926,3827,1632,4058,..,..
"Papua, Prop.",ID.PA,Number of people employed in financial services sector,SL.EMP.FINS,16483,11803,17132,16447,17813,17366,17267,14792,..,..
"Papua, Prop.",ID.PA,Number of people employed in industrial sector,SL.EMP.IND,19885,17003,21496,16048,16182,32558,37917,32633,..,..
"Papua, Prop.",ID.PA,Number of people employed in mining and quarrying sector,SL.EMP.MINQ,33174,31832,23883,20160,14623,13534,16773,16226,..,..
"Papua, Prop.",ID.PA,Number of people employed in social services sector,SL.EMP.SOCL,147906,156278,156594,217796,170518,223030,231233,239386,..,..
"Papua, Prop.",ID.PA,"Number of people employed in trade, hotel and restaurant sector",SL.EMP.TRAD,130766,114830,113899,116847,125585,160152,136261,155407,..,..
"Papua, Prop.",ID.PA,Number of people employed in transportation and telecommunication sector,SL.EMP.TRAN,52225,51892,52002,50385,45205,75813,53297,65264,..,..
"Papua, Prop.",ID.PA,Number of people in labor force,SL.TLF,1536728,1557089,1610484,1675113,1741945,1722162,1762841,1836271,..,..
"Papua, Prop.",ID.PA,Number of people live below the poverty line (in number of people),SI.POV.BPL,944790,976400,960600,864113,859150,911330,897690,917630,..,..
"Papua, Prop.",ID.PA,Number of people underemployed,SL.EMP.UNDR,482843,573070,723066,691723,736871,648642,699922,740469,..,..
"Papua, Prop.",ID.PA,Number of people unemployed,SL.UEM.TOTL,60501,56822,50809,57676,69465,57677,63770,59064,..,..
"Riau, Prop.",ID.RI,Number of people employed,SL.EMP.TOTL,2424180,2415949,2479493,2518485,2554296,2765946,2781021,2915597,..,..
"Riau, Prop.",ID.RI,"Number of people employed in agriculture, forestry and fishery",SL.EMP.AGR.FRST.FSH,1086037,1079567,1106544,1115250,1088258,1158459,1112332,1140824,..,..
"Riau, Prop.",ID.RI,Number of people employed in construction sector,SL.EMP.CNST,124939,122999,135356,126839,146073,157783,154491,170418,..,..
"Riau, Prop.",ID.RI,Number of people employed in electricity and utilities sector,SL.EMP.ELC,10151,8126,6700,11338,5542,18024,5303,14009,..,..
"Riau, Prop.",ID.RI,Number of people employed in financial services sector,SL.EMP.FINS,56332,69740,63209,56650,66484,65752,72033,71370,..,..
"Riau, Prop.",ID.RI,Number of people employed in industrial sector,SL.EMP.IND,145753,147321,159070,163941,152471,209047,182472,217092,..,..
"Riau, Prop.",ID.RI,Number of people employed in mining and quarrying sector,SL.EMP.MINQ,37659,44072,43438,47155,38417,41419,28947,34958,..,..
"Riau, Prop.",ID.RI,Number of people employed in social services sector,SL.EMP.SOCL,377035,345830,380519,373579,437884,481367,499290,465044,..,..
"Riau, Prop.",ID.RI,"Number of people employed in trade, hotel and restaurant sector",SL.EMP.TRAD,490910,501727,493755,530233,520955,515745,609413,687709,..,..
"Riau, Prop.",ID.RI,Number of people employed in transportation and telecommunication sector,SL.EMP.TRAN,95364,96567,90902,93500,98212,118350,116740,114173,..,..
"Riau, Prop.",ID.RI,Number of people in labor force,SL.TLF,2560402,2524396,2623310,2695247,2771349,2987952,2965585,3111317,..,..
"Riau, Prop.",ID.RI,Number of people live below the poverty line (in number of people),SI.POV.BPL,482050,483100,511500,498281,531390,515400,514620,500440,..,..
"Riau, Prop.",ID.RI,Number of people underemployed,SL.EMP.UNDR,913623,892969,934208,887773,888973,994771,961757,1042592,..,..
"Riau, Prop.",ID.RI,Number of people unemployed,SL.UEM.TOTL,136222,108447,143817,176762,217053,222006,184564,195720,..,..
"Sulawesi Barat, Prop.",ID.SR,Number of people employed,SL.EMP.TOTL,536048,575858,545438,595797,595905,624182,595004,619395,..,..
"Sulawesi Barat, Prop.",ID.SR,"Number of people employed in agriculture, forestry and fishery",SL.EMP.AGR.FRST.FSH,315762,330579,314096,338649,348779,310605,299957,323280,..,..
"Sulawesi Barat, Prop.",ID.SR,Number of people employed in construction sector,SL.EMP.CNST,20758,24408,24298,24541,28794,53971,39795,39739,..,..
"Sulawesi Barat, Prop.",ID.SR,Number of people employed in electricity and utilities sector,SL.EMP.ELC,1236,..,694,562,920,767,304,1711,..,..
"Sulawesi Barat, Prop.",ID.SR,Number of people employed in financial services sector,SL.EMP.FINS,4508,4346,6756,5457,6465,5076,5948,6432,..,..
"Sulawesi Barat, Prop.",ID.SR,Number of people employed in industrial sector,SL.EMP.IND,30973,28722,24965,34285,38107,49587,41717,46390,..,..
"Sulawesi Barat, Prop.",ID.SR,Number of people employed in mining and quarrying sector,SL.EMP.MINQ,5629,4015,4740,4288,4877,9392,5953,5400,..,..
"Sulawesi Barat, Prop.",ID.SR,Number of people employed in social services sector,SL.EMP.SOCL,70294,79979,77844,90465,86274,92170,97660,83402,..,..
"Sulawesi Barat, Prop.",ID.SR,"Number of people employed in trade, hotel and restaurant sector",SL.EMP.TRAD,72203,87009,74789,82867,62485,82761,83246,97257,..,..
"Sulawesi Barat, Prop.",ID.SR,Number of people employed in transportation and telecommunication sector,SL.EMP.TRAN,14685,16800,17256,14683,19204,19853,20424,15784,..,..
"Sulawesi Barat, Prop.",ID.SR,Number of people in labor force,SL.TLF,551631,588535,558574,608446,616549,645671,614748,639622,..,..
"Sulawesi Barat, Prop.",ID.SR,Number of people live below the poverty line (in number of people),SI.POV.BPL,164860,160500,151700,154690,160480,152730,149760,151780,..,..
"Sulawesi Barat, Prop.",ID.SR,Number of people underemployed,SL.EMP.UNDR,297351,324906,349856,312551,310463,259610,284975,297692,..,..
"Sulawesi Barat, Prop.",ID.SR,Number of people unemployed,SL.UEM.TOTL,15583,12677,13136,12649,20644,21489,19744,20227,..,..
"Sulawesi Selatan, Prop.",ID.SE,Number of people employed,SL.EMP.TOTL,3375498,3438288,3376549,3527036,3485492,3694712,3598663,3774924,..,..
"Sulawesi Selatan, Prop.",ID.SE,"Number of people employed in agriculture, forestry and fishery",SL.EMP.AGR.FRST.FSH,1469245,1512607,1473322,1474491,1454451,1467989,1391639,1426501,..,..
"Sulawesi Selatan, Prop.",ID.SE,Number of people employed in construction sector,SL.EMP.CNST,178717,185248,196241,210957,219228,262662,232673,254738,..,..
"Sulawesi Selatan, Prop.",ID.SE,Number of people employed in electricity and utilities sector,SL.EMP.ELC,7831,15044,8423,9458,8131,13537,14545,18803,..,..
"Sulawesi Selatan, Prop.",ID.SE,Number of people employed in financial services sector,SL.EMP.FINS,55828,59802,73290,77660,91387,60576,71009,91470,..,..
"Sulawesi Selatan, Prop.",ID.SE,Number of people employed in industrial sector,SL.EMP.IND,223246,231455,200084,202003,230459,282754,262936,341716,..,..
"Sulawesi Selatan, Prop.",ID.SE,Number of people employed in mining and quarrying sector,SL.EMP.MINQ,29038,25857,22450,17774,25256,40247,28715,24283,..,..
"Sulawesi Selatan, Prop.",ID.SE,Number of people employed in social services sector,SL.EMP.SOCL,575863,589576,611494,703903,616355,634378,652899,586847,..,..
"Sulawesi Selatan, Prop.",ID.SE,"Number of people employed in trade, hotel and restaurant sector",SL.EMP.TRAD,654516,634355,618379,673726,688331,769767,766755,854478,..,..
"Sulawesi Selatan, Prop.",ID.SE,Number of people employed in transportation and telecommunication sector,SL.EMP.TRAN,181214,184344,172866,157064,151894,162802,177492,176088,..,..
"Sulawesi Selatan, Prop.",ID.SE,Number of people in labor force,SL.TLF,3612424,3657419,3558183,3715801,3706128,3881003,3812358,3988410,..,..
"Sulawesi Selatan, Prop.",ID.SE,Number of people live below the poverty line (in number of people),SI.POV.BPL,832910,825800,863200,806345,797720,807030,813070,792630,..,..
"Sulawesi Selatan, Prop.",ID.SE,Number of people underemployed,SL.EMP.UNDR,1388485,1339425,1493568,1298449,1306311,1275261,1295011,1348344,..,..
"Sulawesi Selatan, Prop.",ID.SE,Number of people unemployed,SL.UEM.TOTL,236926,219131,181634,188765,220636,186291,213695,213486,..,..
"Sulawesi Tengah, Prop.",ID.ST,Number of people employed,SL.EMP.TOTL,1260999,1229597,1239122,1293226,1327418,1459803,1374214,1451491,..,..
"Sulawesi Tengah, Prop.",ID.ST,"Number of people employed in agriculture, forestry and fishery",SL.EMP.AGR.FRST.FSH,654739,615957,616499,616626,664142,669959,608746,639023,..,..
"Sulawesi Tengah, Prop.",ID.ST,Number of people employed in construction sector,SL.EMP.CNST,57492,65836,65740,71949,73525,82005,83518,80868,..,..
"Sulawesi Tengah, Prop.",ID.ST,Number of people employed in electricity and utilities sector,SL.EMP.ELC,1812,3149,3669,2357,2453,4289,2983,10364,..,..
"Sulawesi Tengah, Prop.",ID.ST,Number of people employed in financial services sector,SL.EMP.FINS,15792,19880,18263,16775,17328,27623,20905,25692,..,..
"Sulawesi Tengah, Prop.",ID.ST,Number of people employed in industrial sector,SL.EMP.IND,65750,66457,62348,63587,53869,89766,86986,109919,..,..
"Sulawesi Tengah, Prop.",ID.ST,Number of people employed in mining and quarrying sector,SL.EMP.MINQ,26254,31455,21307,16044,24035,22239,30491,23061,..,..
"Sulawesi Tengah, Prop.",ID.ST,Number of people employed in social services sector,SL.EMP.SOCL,204436,206774,230477,255211,233497,272865,277670,266624,..,..
"Sulawesi Tengah, Prop.",ID.ST,"Number of people employed in trade, hotel and restaurant sector",SL.EMP.TRAD,190410,179066,176118,206094,217697,237631,218002,246244,..,..
"Sulawesi Tengah, Prop.",ID.ST,Number of people employed in transportation and telecommunication sector,SL.EMP.TRAN,44314,41023,44701,44583,40872,53426,44913,49696,..,..
"Sulawesi Tengah, Prop.",ID.ST,Number of people in labor force,SL.TLF,1313680,1279717,1293332,1342615,1384235,1509505,1428583,1502972,..,..
"Sulawesi Tengah, Prop.",ID.ST,Number of people live below the poverty line (in number of people),SI.POV.BPL,423630,418600,400400,387060,421630,420520,417870,420210,..,..
"Sulawesi Tengah, Prop.",ID.ST,Number of people underemployed,SL.EMP.UNDR,514133,488857,575833,498641,492184,472413,492630,546029,..,..
"Sulawesi Tengah, Prop.",ID.ST,Number of people unemployed,SL.UEM.TOTL,52681,50120,54210,49389,56817,49702,54369,51481,..,..
"Sulawesi Tenggara, Prop.",ID.SG,Number of people employed,SL.EMP.TOTL,1026548,1000570,997231,1037419,1074916,1219548,1160974,1207488,..,..
"Sulawesi Tenggara, Prop.",ID.SG,"Number of people employed in agriculture, forestry and fishery",SL.EMP.AGR.FRST.FSH,467200,410424,417001,442148,489289,474619,430346,427659,..,..
"Sulawesi Tenggara, Prop.",ID.SG,Number of people employed in construction sector,SL.EMP.CNST,54277,64196,54224,61169,72427,81113,75254,77222,..,..
"Sulawesi Tenggara, Prop.",ID.SG,Number of people employed in electricity and utilities sector,SL.EMP.ELC,1901,1954,2555,2646,2592,2449,5191,6626,..,..
"Sulawesi Tenggara, Prop.",ID.SG,Number of people employed in financial services sector,SL.EMP.FINS,11538,11931,15886,16787,17199,19072,23806,18894,..,..
"Sulawesi Tenggara, Prop.",ID.SG,Number of people employed in industrial sector,SL.EMP.IND,51782,64300,56921,53423,53419,90446,98330,108336,..,..
"Sulawesi Tenggara, Prop.",ID.SG,Number of people employed in mining and quarrying sector,SL.EMP.MINQ,38159,31908,30237,26241,22809,25771,22479,31387,..,..
"Sulawesi Tenggara, Prop.",ID.SG,Number of people employed in social services sector,SL.EMP.SOCL,175356,181253,190168,195932,183733,225534,242184,237013,..,..
"Sulawesi Tenggara, Prop.",ID.SG,"Number of people employed in trade, hotel and restaurant sector",SL.EMP.TRAD,169917,186283,181798,193476,191053,243357,222351,255582,..,..
"Sulawesi Tenggara, Prop.",ID.SG,Number of people employed in transportation and telecommunication sector,SL.EMP.TRAN,56418,48321,48441,45597,42395,57187,41033,44769,..,..
"Sulawesi Tenggara, Prop.",ID.SG,Number of people in labor force,SL.TLF,1058999,1043390,1042947,1085509,1138045,1253624,1200605,1248212,..,..
"Sulawesi Tenggara, Prop.",ID.SG,Number of people live below the poverty line (in number of people),SI.POV.BPL,330000,316300,330800,314086,321880,326870,331710,307100,..,..
"Sulawesi Tenggara, Prop.",ID.SG,Number of people underemployed,SL.EMP.UNDR,407542,438285,490173,427953,421254,406118,423091,441020,..,..
"Sulawesi Tenggara, Prop.",ID.SG,Number of people unemployed,SL.UEM.TOTL,32451,42820,45716,48090,63129,34076,39631,40724,..,..
"Sulawesi Utara, Prop.",ID.SW,Number of people employed,SL.EMP.TOTL,990720,976997,965457,980756,1000032,1110564,1040826,1095145,..,..
